Date,LEVEL_00_6D78F692,LEVEL_01_74433ACA,LEVEL_02.A_4E35AD0B,LEVEL_02.B_4C01AA2C,LEVEL_03_669BEE00
2016-07-26 00:00:00+00:00,20.666460319684127,24.371283835392248,24.449905496592294,24.416652312698716,24.500653026023986
2016-07-26 01:00:00+00:00,20.66666255589443,23.97912247007507,24.01661280239975,23.974201900490623,24.035787371320765
2016-07-26 02:00:00+00:00,20.6666666663105,23.300669100299718,23.426491014497667,23.54558603392316,23.664568465799473
2016-07-26 03:00:00+00:00,20.66666568291559,22.905943522386462,23.07476120722642,23.16596624872241,23.215330096908627
2016-07-26 04:00:00+00:00,20.666664141567654,23.605282472114045,23.629350109263925,23.62815534387303,23.75885594248206
2016-07-26 05:00:00+00:00,20.66666663472582,23.69442518332191,23.82271368542706,23.81048456484115,23.871413693316608
2016-07-26 06:00:00+00:00,20.666658536708074,23.838961939143015,23.908906022889095,23.947080595644547,23.985948764173752
2016-07-26 07:00:00+00:00,20.66666255082661,24.205442131557916,24.256933088626045,24.265994738560504,24.30807264734162
2016-07-26 08:00:00+00:00,20.66666255427136,24.364669918280168,24.421317781193988,24.422975711903376,24.455941112620845
2016-07-26 09:00:00+00:00,20.66666666007272,24.45361211187091,24.51440957378074,24.51061689971104,24.543829560235604
2016-07-26 10:00:00+00:00,20.666666640958276,24.55742835470922,24.617881181374745,24.614160330010463,24.64584358182474
2016-07-26 11:00:00+00:00,20.666666666423477,24.76491095778754,24.81187061131619,24.81724943678395,24.834784000787547
2016-07-26 12:00:00+00:00,20.666666666666668,25.0445591507205,25.080516920941548,25.088634131803488,25.08732390504051
2016-07-26 13:00:00+00:00,20.666666666666668,25.25057280731812,25.29630558386596,25.309419927907964,25.3037982551967
2016-07-26 14:00:00+00:00,20.666666666666668,25.41852867686747,25.4707979331571,25.489658809354932,25.482232224419988
2016-07-26 15:00:00+00:00,20.66666293542306,25.51773049326312,25.58140120701154,25.593688985119403,25.591684077408583
2016-07-26 16:00:00+00:00,20.666666609850626,25.500684201663898,25.579063625925627,25.580797172159503,25.594763690092776
2016-07-26 17:00:00+00:00,20.66666666644462,25.414202853830165,25.50352483273258,25.506386898149373,25.524737610966184
2016-07-26 18:00:00+00:00,20.666666666666668,25.3332186353346,25.422138861620542,25.419400740740382,25.445960246416146
2016-07-26 19:00:00+00:00,20.666666666666668,25.25384720526721,25.34055381082727,25.327879979660754,25.36333972099244
2016-07-26 20:00:00+00:00,20.666666640737247,25.183435132417173,25.26872329490034,25.253669627739303,25.294952843189986
2016-07-26 21:00:00+00:00,20.666666666666668,25.142816529194757,25.225349648379204,25.212022485790072,25.254266743981486
2016-07-26 22:00:00+00:00,20.666666666666668,25.1218656249722,25.1999766978348,25.179752238225635,25.22270858045431
2016-07-26 23:00:00+00:00,20.666666645228982,24.901837202656708,24.887547130510054,24.83548891228959,24.997207720626903
