Date,LEVEL_00_6D78F692_SPACE RV2024_RESILIENCE_PEOPLE,LEVEL_01_74433ACA_SPACE RV2024_RESILIENCE_PEOPLE,LEVEL_02.A_4E35AD0B_SPACE RV2024_RESILIENCE_PEOPLE,LEVEL_02.B_4C01AA2C_SPACE RV2024_RESILIENCE_PEOPLE,LEVEL_03_669BEE00_SPACE RV2024_RESILIENCE_PEOPLE
2016-01-19 00:00:00+00:00,22.831114753426988,22.404202428526528,22.403236401506447,22.403524341107296,22.401589477632594
2016-01-19 01:00:00+00:00,22.83450875716451,22.459998520791586,22.459598241471596,22.45974284888337,22.459164769417345
2016-01-19 02:00:00+00:00,22.83767931810252,22.462926513322028,22.462879322552144,22.462888073636318,22.463019520383018
2016-01-19 03:00:00+00:00,22.841140227276167,22.46970621460189,22.469542686711403,22.469587757185376,22.469464794884185
2016-01-19 04:00:00+00:00,22.844712487606568,22.47543778990831,22.47539928748135,22.4754080213967,22.475567834863103
2016-01-19 05:00:00+00:00,22.848641299027978,22.4834826573499,22.48327725559929,22.483334287839252,22.48311657886822
2016-01-19 06:00:00+00:00,22.852768755607297,22.491232869490034,22.491209368215905,22.49121455439091,22.491411269500418
2016-01-19 07:00:00+00:00,22.856925786949915,22.49077527445677,22.490945163844156,22.49088560350371,22.491495252526065
2016-01-19 08:00:00+00:00,22.86236674816928,22.522684906480773,22.522556073343193,22.52258681499774,22.522526541754615
2016-01-19 09:00:00+00:00,22.87010656113874,22.591096066428904,22.590906444422927,22.590963532143306,22.590794508946953
2016-01-19 10:00:00+00:00,22.8788030027392,22.660261442148222,22.66001292489065,22.660087979026443,22.65979374087726
2016-01-19 11:00:00+00:00,22.888491571774583,22.727021493322496,22.726849652343002,22.72690249518131,22.726784385721135
2016-01-19 12:00:00+00:00,22.89801189205761,22.76394100396156,22.763971595128037,22.76395791209573,22.764280052380926
2016-01-19 13:00:00+00:00,22.90666054040152,22.773470900856793,22.77365714651276,22.7735899912137,22.774244255207737
2016-01-19 14:00:00+00:00,22.913245609037634,22.76650553695059,22.766590566752868,22.766553896812947,22.766982348548126
2016-01-19 15:00:00+00:00,22.91865861611062,22.76874566511766,22.768801920471134,22.768776904482667,22.769150169259486
2016-01-19 16:00:00+00:00,22.92277721777087,22.702568976141908,22.703249978920976,22.70302593388188,22.70476218571011
2016-01-19 17:00:00+00:00,22.92587540690735,22.60574570895327,22.606293249392994,22.60610135727727,22.60751784035253
2016-01-19 18:00:00+00:00,22.928294193303742,22.55167432179044,22.552065012664496,22.551928571742085,22.55301350304141
2016-01-19 19:00:00+00:00,22.929558420849002,22.514376077203153,22.514598484771117,22.514517008140928,22.51522998472538
2016-01-19 20:00:00+00:00,22.929792478784517,22.47361467841137,22.47414431097857,22.47396983730025,22.4753684059891
2016-01-19 21:00:00+00:00,22.92915771211433,22.429896840388164,22.43028518478553,22.43014871063399,22.431212601465006
2016-01-19 22:00:00+00:00,22.92846579332134,22.39628044956106,22.396646993988895,22.396522179136937,22.3975487371649
2016-01-19 23:00:00+00:00,22.927214451268693,22.367581056697194,22.36781952388664,22.367733974796767,22.36846857901581
2016-01-20 00:00:00+00:00,22.42105372673079,18.039142684745574,18.54678727716284,18.527381073822344,18.93674861806561
2016-01-20 01:00:00+00:00,22.13117560999848,17.083529639546995,18.052990110449773,18.78001327323991,18.453413025658325
2016-01-20 02:00:00+00:00,21.988738095952453,17.727310352164675,18.498284772486993,18.640430240749758,18.27501567209502
2016-01-20 03:00:00+00:00,21.86102410801387,18.521405585618837,18.617760925523665,18.58407805489088,18.32039965480616
2016-01-20 04:00:00+00:00,21.7483214932125,18.4222081630662,17.795039933252422,18.307550264443037,18.09438952043961
2016-01-20 05:00:00+00:00,21.64909944311951,18.613536340512955,18.62347877191434,18.492353209306874,18.623954969102428
2016-01-20 06:00:00+00:00,21.574394227119587,18.565201472469017,18.57888404657396,18.445332194398024,18.575360142685813
2016-01-20 07:00:00+00:00,21.51654606169411,18.489067366985235,18.50353599932701,18.373585496028767,18.499419295005072
2016-01-20 08:00:00+00:00,21.472397840663174,18.46499900062574,18.475754021386482,18.350297031928406,18.468983362635026
2016-01-20 09:00:00+00:00,21.436570729550017,18.437469105496277,18.447982456613644,18.324778335980813,18.43893453378015
2016-01-20 10:00:00+00:00,21.406735493241438,18.422211902409305,18.431088966289654,18.31218177446283,18.421871040985348
