demand_type,contribution_type,item,variant_id,units,value,source_field_id,source_label,excel_row
cooling,limit,demand_limit,as_drawn,kWh,9179.92783233,certification_limits.total_cooling_demand_limit,Total Cooling Demand Limit,366
heating,loss,walls_ag,enerphit_by_component,kWh,9591.20902176,heating_demand.walls_ag,Walls (AG),376
heating,loss,walls_bg,enerphit_by_component,kWh,2247.42496729,heating_demand.walls_bg,Walls (BG),377
heating,loss,roofs,enerphit_by_component,kWh,4018.48272664,heating_demand.roofs,Roofs,378
heating,loss,floor_slabs,enerphit_by_component,kWh,4868.51720336,heating_demand.floor_slabs,Floor Slabs,379
heating,loss,windows,enerphit_by_component,kWh,9496.0270609,heating_demand.windows,Windows,383
heating,loss,thermal_bridges,enerphit_by_component,kWh,5441.59192389,heating_demand.thermal_bridges,Thermal Bridges,385
heating,loss,ventilation,enerphit_by_component,kWh,6477.65770209,heating_demand.ventilation,Ventilation,388
heating,gain,heating_demand,enerphit_by_component,kWh,25788.0833296,heating_demand.heating_demand,Heating Demand,389
heating,gain,north,enerphit_by_component,kWh,640.069594013,heating_demand.north,North,390
heating,gain,east,enerphit_by_component,kWh,1963.66999121,heating_demand.east,East,391
heating,gain,south,enerphit_by_component,kWh,2951.2993544,heating_demand.south,South,392
heating,gain,west,enerphit_by_component,kWh,2423.3969247,heating_demand.west,West,393
heating,gain,horizontal,enerphit_by_component,kWh,0,heating_demand.horizontal,Horizontal,394
heating,gain,sum_opaque_areas,enerphit_by_component,kWh,2338.20938437,heating_demand.sum_opaque_areas,Sum opaque areas,395
heating,gain,internal_gains,enerphit_by_component,kWh,7786.82747654,heating_demand.internal_gains,Internal Gains,396
heating,limit,demand_limit,enerphit_by_component,kWh,0,certification_limits.heat_demand_limit,Heat Demand Limit,363
cooling,loss,cooling_demand_2,enerphit_by_component,kWh,1947.56900975,cooling_demand.cooling_demand_2,Cooling Demand,399
cooling,loss,walls_ag,enerphit_by_component,kWh,4589.05353797,cooling_demand.walls_ag,Walls (AG),400
cooling,loss,walls_bg,enerphit_by_component,kWh,1914.17254941,cooling_demand.walls_bg,Walls (BG),401
cooling,loss,roofs,enerphit_by_component,kWh,1922.70154181,cooling_demand.roofs,Roofs,402
cooling,loss,floor_slabs,enerphit_by_component,kWh,4146.60427942,cooling_demand.floor_slabs,Floor Slabs,403
cooling,loss,windows,enerphit_by_component,kWh,4543.51234361,cooling_demand.windows,Windows,407
